160	Terminal :	10.80.15.220 	 Kullanıcı :00049 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:59:17
161	Terminal :	10.80.15.220 	 Kullanıcı :00049 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:59:23
162	Terminal :	10.80.15.220 	 Kullanıcı :00287 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:01:05
163	Terminal :	10.80.15.220 	 Kullanıcı :00379 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:03:38
164	Terminal :	10.80.15.220 	 Kullanıcı :00378 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:03:41
165	Terminal :	10.80.15.220 	 Kullanıcı :00391 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:04:23
166	Terminal :	10.80.15.220 	 Kullanıcı :00385 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:08:25
167	Terminal :	10.80.15.220 	 Kullanıcı :00344 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:15:53
168	Terminal :	10.80.15.220 	 Kullanıcı :00215 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:21:45
169	Terminal :	10.80.15.220 	 Kullanıcı :00285 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:30:16
170	Terminal :	10.80.15.220 	 Kullanıcı :00345 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:31:52
171	Terminal :	10.80.15.220 	 Kullanıcı :00402 : 	 İşlem Tipi 0	25.05.2022 00:00:00	17:59:34
172	Terminal :	10.80.15.220 	 Kullanıcı :00253 : 	 İşlem Tipi 0	25.05.2022 00:00:00	18:21:46
173	Terminal :	10.80.15.220 	 Kullanıcı :00054 : 	 İşlem Tipi 0	25.05.2022 00:00:00	19:30:27
174	Terminal :	10.80.15.220 	 Kullanıcı :00050 : 	 İşlem Tipi 0	25.05.2022 00:00:00	19:30:36
175	Terminal :	10.80.15.220 	 Kullanıcı :00003 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:00:37
176	Terminal :	10.80.15.220 	 Kullanıcı :00304 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:13:48
177	Terminal :	10.80.15.220 	 Kullanıcı :00345 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:16:52
178	Terminal :	10.80.15.220 	 Kullanıcı :00284 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:27:42
179	Terminal :	10.80.15.220 	 Kullanıcı :00100 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:30:29
180	Terminal :	10.80.15.220 	 Kullanıcı :00283 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:35:32
